id,reference,species,group,guild,biome,distance,human_dens,body_mass,treatment_n,control_n,treatment_mean,control_mean,treatment_sd,control_sd,rr,var
1097,"Noss, 2000a",Cephalophus dorsalis,Mammals,Herb,Tropical forest,7.5,5.19,20,6,6,1.2,2,1.095,1.414,-0.51,0.222
1098,"Noss, 2000a",Philantomba monticola,Mammals,Frug,Tropical forest,2.5,5.19,4.9,6,6,10.7,20.4,3.271,4.517,-0.645,0.024
1099,"Noss, 2000a",Philantomba monticola,Mammals,Frug,Tropical forest,7.5,5.19,4.9,6,6,14.8,20.4,3.847,4.517,-0.321,0.019
1100,"Noss, 2000b",Chaetophractus vellerosus,Mammals,Omn,Xerophilous forest,8.24,0.89,1.03,66,92,1.7,0.2,1.304,0.447,2.14,0.063
1101,"Noss, 2000b",Chaetophractus villosus,Mammals,Omn,Xerophilous forest,8.24,0.89,4.54,66,92,0.58,0.18,0.13,0.148,1.17,0.008
1102,"Noss, 2000b",Dasypus novemcinctus,Mammals,Inver,Xerophilous forest,8.24,0.89,4.2,66,92,0.65,0.05,0.175,0.14,2.565,0.086
1103,"Noss, 2000b",Euphractus sexcinctus,Mammals,Omn,Xerophilous forest,8.24,0.89,4.78,66,92,1.18,0.18,0.215,0.148,1.88,0.008
1104,"Noss, 2000b",Mazama gouazoubira,Mammals,Omn,Xerophilous forest,8.24,0.89,16.63,66,92,1.19,2.36,0.31,0.288,-0.684,0.001
1105,"Noss, 2000b",Pecari tajacu,Mammals,Herb,Xerophilous forest,8.24,0.89,21.27,66,92,0.81,0.78,0.193,0.33,0.038,0.003
1106,"Noss, 2000b",Tapirus terrestris,Mammals,Herb,Xerophilous forest,8.24,0.89,207.5,66,92,0.01,0.11,0.015,0.052,-2.395,0.036
1107,"Noss, 2000b",Tayassu pecari,Mammals,Frug,Xerophilous forest,8.24,0.89,32.23,66,92,5.1,0.2,2.258,0.447,3.239,0.057
1108,"Noss, 2000b",Tolypeutes matacus,Mammals,Inver,Xerophilous forest,8.24,0.89,1.2,66,92,0.18,0.3,0.113,0.548,-0.51,0.042
1109,"Novack, 2003",Dasyprocta punctata,Mammals,Omn,Tropical forest,8,6.96,2.67,6,6,7.52,10.5,2.42,2.99,-0.333,0.031
1110,"Novack, 2003",Mazama americana and M. pandora,Mammals,Herb,Tropical forest,8,6.96,16.5,6,6,1.76,3.11,0.35,0.74,-0.569,0.016
1111,"Novack, 2003",Nasua nasua,Mammals,Frug,Tropical forest,8,6.96,3.79,6,6,52.89,22.58,15.31,3.93,0.851,0.019
1112,"Novack, 2003",Odocoileus virginianus,Mammals,Herb,Tropical forest,8,6.96,55.51,6,6,1.32,1.18,0.52,0.38,0.112,0.043
1113,"Novack, 2003",Pecari tajacu,Mammals,Herb,Tropical forest,8,6.96,21.27,6,6,2.38,8.12,1.01,2.49,-1.226,0.046
1114,"Nunez-Iturri et al., 2007",Penelope jacquacu,Birds,Frug,Tropical forest,5.5,0.29,1.49,158,175,7.6,7.8,22.626,18.52,-0.025,0.088
1115,"Nunez-Iturri et al., 2007",Psophia leucoptera,Birds,Frug,Tropical forest,5.5,0.29,1.32,158,175,5.3,11.7,16.341,25.135,-0.789,0.087
1116,"Nunez-Iturri et al., 2007",Alouatta seniculus,Mammals,Herb,Tropical forest,5.5,0.29,6.15,158,175,1,1.6,3.771,3.969,-0.47,0.125
1117,"Nunez-Iturri et al., 2007",Aotus nigriceps,Mammals,Omn,Tropical forest,5.5,0.29,1.06,158,175,25,16.6,47.765,34.395,0.41,0.048
1118,"Nunez-Iturri et al., 2007",Bassaricyon gabbii,Mammals,Frug,Tropical forest,5.5,0.29,1.25,3,3,2,1.667,3.464,2.082,0.183,1.52
1119,"Nunez-Iturri et al., 2007",Callicebus brunneus,Mammals,Omn,Tropical forest,5.5,0.29,0.99,158,175,3,1.4,13.827,7.937,0.762,0.318
1120,"Nunez-Iturri et al., 2007",Cebus albifrons,Mammals,Omn,Tropical forest,5.5,0.29,2.63,158,175,3.1,15.6,23.883,51.592,-1.615,0.438
1121,"Nunez-Iturri et al., 2007",Cuniculus paca,Mammals,Omn,Tropical forest,5.5,0.29,8.17,158,175,3.8,2.7,16.341,7.937,0.342,0.166
1122,"Nunez-Iturri et al., 2007",Dasyprocta punctata,Mammals,Omn,Tropical forest,5.5,0.29,2.67,158,175,9.6,10.5,12.57,15.875,-0.089,0.024
1123,"Nunez-Iturri et al., 2007",Dasypus novemcinctus,Mammals,Inver,Tropical forest,5.5,0.29,4.2,3,3,2.333,2.667,4.042,1.528,-0.133,1.109
1124,"Nunez-Iturri et al., 2007",Didelphis marsupialis,Mammals,Carn,Tropical forest,5.5,0.29,1.09,3,3,5.333,9.333,7.572,4.933,-0.559,0.765
1125,"Nunez-Iturri et al., 2007",Eira barbara,Mammals,Carn,Tropical forest,5.5,0.29,3.91,3,3,0.667,1.333,0.577,0.577,-0.693,0.313
1126,"Nunez-Iturri et al., 2007",Leopardus pardalis,Mammals,Carn,Tropical forest,5.5,0.29,11.9,3,3,2.333,4,4.042,1.732,-0.539,1.063
1127,"Nunez-Iturri et al., 2007",Mazama americana,Mammals,Herb,Tropical forest,5.5,0.29,22.8,158,175,1.2,1.9,3.771,6.614,-0.459,0.132
1128,"Nunez-Iturri et al., 2007",Mazama gouazoubira,Mammals,Omn,Tropical forest,5.5,0.29,16.63,3,3,0.333,0.333,0.577,0.577,0,2.001
1129,"Nunez-Iturri et al., 2007",Myoprocta pratti,Mammals,Omn,Tropical forest,5.5,0.29,0.97,3,3,0.333,0.333,0.577,0.577,0,2.001
1130,"Nunez-Iturri et al., 2007",Nasua nasua,Mammals,Frug,Tropical forest,5.5,0.29,3.79,3,3,1,0.333,1,0.577,1.099,1.334
1131,"Nunez-Iturri et al., 2007",Oryzomys spp.,Mammals,Omn,Tropical forest,5.5,0.29,0.06,3,3,18.2,12.2,4.157,3.637,0.4,0.047
1132,"Nunez-Iturri et al., 2007",Panthera onca,Mammals,Carn,Tropical forest,5.5,0.29,100,3,3,0.667,0.667,0.577,0.577,0,0.5
1133,"Nunez-Iturri et al., 2007",Pecari tajacu,Mammals,Herb,Tropical forest,5.5,0.29,21.27,158,175,5.7,13.3,30.168,51.592,-0.847,0.263
1134,"Nunez-Iturri et al., 2007",Potos flavus,Mammals,Frug,Tropical forest,5.5,0.29,3,158,175,12.9,6.5,25.14,15.875,0.686,0.058
1135,"Nunez-Iturri et al., 2007",Proechimys spp,Mammals,Herb,Tropical forest,5.5,0.29,0.29,3,3,3.7,2.7,1.386,2.945,0.315,0.443
1136,"Nunez-Iturri et al., 2007",Puma concolor,Mammals,Carn,Tropical forest,5.5,0.29,51.6,3,3,0.667,1,1.155,1,-0.405,1.333
1137,"Nunez-Iturri et al., 2007",Saguinus fuscicollis,Mammals,Omn,Tropical forest,5.5,0.29,0.39,158,175,34,9.5,96.788,37.041,1.275,0.138
1138,"Nunez-Iturri et al., 2007",Saguinus imperator,Mammals,Omn,Tropical forest,5.5,0.29,0.4,3,3,1,0.333,1,0.577,1.099,1.334
1139,"Nunez-Iturri et al., 2007",Saimiri sciureus,Mammals,Omn,Tropical forest,5.5,0.29,0.74,158,175,143.1,50.7,564.384,215.629,1.038,0.202
1140,"Nunez-Iturri et al., 2007",Sapajus apella,Mammals,Omn,Tropical forest,5.5,0.29,2.5,158,175,13.8,32.3,40.223,64.821,-0.85,0.077
1141,"Nunez-Iturri et al., 2007",Sciurus ignitus,Mammals,Frug,Tropical forest,5.5,0.29,0.19,3,3,1.667,9.667,2.082,7.506,-1.756,0.721
1142,"Nunez-Iturri et al., 2007",Sciurus spadiceus,Mammals,Frug,Tropical forest,5.5,0.29,0.4,158,175,26.2,13.2,51.536,26.458,0.686,0.047
1143,"Nunez-Iturri et al., 2007",Sylvilagus brasiliensis,Mammals,Herb,Tropical forest,5.5,0.29,0.95,3,3,4.333,1.667,6.658,2.082,0.956,1.307
1144,"Nunez-Iturri et al., 2007",Tamandua tetradactyla,Mammals,Inver,Tropical forest,5.5,0.29,5.52,3,3,2.667,4,3.786,3,-0.405,0.859
1145,"Nunez-Iturri et al., 2007",Tapirus terrestris,Mammals,Herb,Tropical forest,5.5,0.29,207.5,3,3,1.667,2.667,0.577,1.528,-0.47,0.149
1146,"Nunez-Iturri et al., 2007",Tayassu pecari,Mammals,Frug,Tropical forest,5.5,0.29,32.23,158,175,0.1,0.7,0.05,0.2,-1.944,0.002
1147,"Paciulli, 2004",Hylobates klossii,Mammals,Frug,Tropical forest,3.5,7.26,5.8,9,9,2.56,0.83,1.6,0.911,1.126,0.177
1148,"Paciulli, 2004",Macaca pagensis,Mammals,Frug,Tropical forest,3.5,7.26,4.53,9,9,4.83,6.84,2.198,2.615,-0.348,0.039
1149,"Paciulli, 2004",Presbytis potenziani,Mammals,Frug,Tropical forest,3.5,7.26,6.45,9,9,1.15,0.58,1.072,0.762,0.685,0.288
1150,"Paciulli, 2004",Simias concolor,Mammals,Herb,Tropical forest,3.5,7.26,7.39,9,9,4.8,3.15,2.191,1.775,0.421,0.058
1151,"Paciulli, 2004",Hylobates klossii,Mammals,Frug,Tropical forest,0.25,14.24,5.8,9,9,1.5,0.83,1.225,0.911,0.592,0.208
1152,"Paciulli, 2004",Macaca pagensis,Mammals,Frug,Tropical forest,0.25,14.24,4.53,9,9,9.03,6.84,3.005,2.615,0.278,0.029
1153,"Paciulli, 2004",Presbytis potenziani,Mammals,Frug,Tropical forest,0.25,14.24,6.45,9,9,1.33,0.58,1.153,0.762,0.83,0.275
1154,"Paciulli, 2004",Simias concolor,Mammals,Herb,Tropical forest,0.25,14.24,7.39,9,9,7.55,3.15,2.748,1.775,0.874,0.05
1155,"Paciulli, 2004",Hylobates klossii,Mammals,Frug,Tropical forest,4,4.75,5.8,9,9,1.13,1.12,1.063,1.058,0.009,0.198
1156,"Paciulli, 2004",Macaca pagensis,Mammals,Frug,Tropical forest,4,4.75,4.53,9,9,17.98,5.69,4.24,2.385,1.151,0.026
1157,"Paciulli, 2004",Presbytis potenziani,Mammals,Frug,Tropical forest,4,4.75,6.45,9,9,0.73,0.69,0.854,0.831,0.057,0.313
1158,"Paciulli, 2004",Simias concolor,Mammals,Herb,Tropical forest,4,4.75,7.39,9,9,10.45,0.27,3.233,0.52,3.656,0.422
1159,"Paciulli, 2004",Hylobates klossii,Mammals,Frug,Tropical forest,0.28,23.25,5.8,9,9,1.03,1.12,1.015,1.058,-0.083,0.207
1160,"Paciulli, 2004",Macaca pagensis,Mammals,Frug,Tropical forest,0.28,23.25,4.53,9,9,5.73,5.69,2.394,2.385,0.007,0.039
1161,"Paciulli, 2004",Presbytis potenziani,Mammals,Frug,Tropical forest,0.28,23.25,6.45,9,9,0.52,0.69,0.721,0.831,-0.283,0.375
1162,"Paciulli, 2004",Simias concolor,Mammals,Herb,Tropical forest,0.28,23.25,7.39,9,9,2.76,0.27,1.661,0.52,2.325,0.452
1163,"Paciulli, 2004",Hylobates klossii,Mammals,Frug,Tropical forest,0.03,11.49,5.8,9,9,1.28,1.26,1.131,1.122,0.016,0.175
1164,"Paciulli, 2004",Macaca pagensis,Mammals,Frug,Tropical forest,0.03,11.49,4.53,9,9,14.45,13.73,3.801,3.705,0.051,0.016
1165,"Paciulli, 2004",Presbytis potenziani,Mammals,Frug,Tropical forest,0.03,11.49,6.45,9,9,5.15,2.21,2.269,1.487,0.846,0.072
1166,"Paciulli, 2004",Simias concolor,Mammals,Herb,Tropical forest,0.03,11.49,7.39,9,9,4.33,1.61,2.081,1.269,0.989,0.095
1167,"Paciulli, 2004",Hylobates klossii,Mammals,Frug,Tropical forest,0.2,13.37,5.8,9,9,0.76,1.26,0.872,1.122,-0.505,0.234
1168,"Paciulli, 2004",Macaca pagensis,Mammals,Frug,Tropical forest,0.2,13.37,4.53,9,9,8.63,13.73,2.938,3.705,-0.464,0.021
1169,"Paciulli, 2004",Presbytis potenziani,Mammals,Frug,Tropical forest,0.2,13.37,6.45,9,9,4.4,2.21,2.098,1.487,0.689,0.076
1170,"Paciulli, 2004",Simias concolor,Mammals,Herb,Tropical forest,0.2,13.37,7.39,9,9,1.69,1.61,1.3,1.269,0.049,0.135
1171,"Parry et al., 2009",Crax alector,Birds,Frug,Tropical forest,5,0.53,2.87,6,8,0.947,1.605,1.048,1.879,-0.525,0.375
1172,"Parry et al., 2009",Crypturellus spp.,Birds,Frug,Tropical forest,5,0.53,0.4,6,8,7.821,3.388,6.903,3.134,0.837,0.237
1173,"Parry et al., 2009",Ortalis motmot,Birds,Frug,Tropical forest,5,0.53,0.52,6,8,3.158,0.658,6.124,1.489,1.569,1.267
1174,"Parry et al., 2009",Penelope marail,Birds,Frug,Tropical forest,5,0.53,0.88,6,8,2.108,5.515,1.905,5.343,-0.959,0.254
1175,"Parry et al., 2009",Psophia crepitans,Birds,Frug,Tropical forest,5,0.53,1.03,6,8,1.893,9.374,2.45,12.099,-1.594,0.487
1176,"Parry et al., 2009",Tinamus spp,Birds,Frug,Tropical forest,5,0.53,1.2,6,8,7.472,7.441,4.266,5.552,0.006,0.124
1177,"Parry et al., 2009",Alouatta macconnelli,Mammals,Herb,Tropical forest,5,0.53,6.32,6,8,2.137,5.656,1.769,5.343,-0.972,0.226
1178,"Parry et al., 2009",Ateles paniscus,Mammals,Frug,Tropical forest,5,0.53,7.9,6,8,0.567,8.307,0.771,6.966,-2.681,0.396
1179,"Parry et al., 2009",Dasyprocta leporina,Mammals,Omn,Tropical forest,5,0.53,3.02,6,8,2.895,1.579,1.934,2.047,0.606,0.284
1180,"Parry et al., 2009",Mazama americana,Mammals,Herb,Tropical forest,5,0.53,22.8,6,8,0.816,1.342,0.532,1.005,-0.497,0.141
1181,"Parry et al., 2009",Mazama gouazoubira,Mammals,Omn,Tropical forest,5,0.53,16.63,6,8,1.52,0.982,1.163,0.806,0.437,0.182
1182,"Parry et al., 2009",Pecari tajacu,Mammals,Herb,Tropical forest,5,0.53,21.27,6,8,2.5,7.611,3.221,9.585,-1.113,0.475
1183,"Parry et al., 2009",Sapajus apella,Mammals,Omn,Tropical forest,5,0.53,2.5,6,8,31.974,21.053,27.879,22.144,0.418,0.265
1184,"Peres and Lake, 2003",Mitu tuberosum and Crax spp,Birds,Frug,Tropical forest,0.25,0.24,3,45,45,0.221,0.639,0.47,0.8,-1.057,0.135
1185,"Peres and Lake, 2003",Mitu tuberosum and Crax spp,Birds,Frug,Tropical forest,0.75,0.24,3,45,45,0.279,0.639,0.528,0.8,-0.827,0.114
1186,"Peres and Lake, 2003",Mitu tuberosum and Crax spp,Birds,Frug,Tropical forest,1.25,0.24,3,45,45,0.393,0.639,0.627,0.8,-0.483,0.091
1187,"Peres and Lake, 2003",Mitu tuberosum and Crax spp,Birds,Frug,Tropical forest,1.75,0.24,3,45,45,0.395,0.639,0.629,0.8,-0.479,0.091
1188,"Peres and Lake, 2003",Mitu tuberosum and Crax spp,Birds,Frug,Tropical forest,2.25,0.24,3,45,45,0.396,0.639,0.629,0.8,-0.477,0.091
1189,"Peres and Lake, 2003",Mitu tuberosum and Crax spp,Birds,Frug,Tropical forest,2.75,0.24,3,45,45,0.295,0.639,0.543,0.8,-0.771,0.11
1190,"Peres and Lake, 2003",Mitu tuberosum and Crax spp,Birds,Frug,Tropical forest,3.25,0.24,3,45,45,0.36,0.639,0.6,0.8,-0.572,0.096
1191,"Peres and Lake, 2003",Mitu tuberosum and Crax spp,Birds,Frug,Tropical forest,3.75,0.24,3,45,45,0.505,0.639,0.711,0.8,-0.234,0.079
1192,"Peres and Lake, 2003",Mitu tuberosum and Crax spp,Birds,Frug,Tropical forest,4.25,0.24,3,45,45,0.369,0.639,0.607,0.8,-0.548,0.095
1193,"Peres and Lake, 2003",Psophia spp,Birds,Frug,Tropical forest,0.25,0.24,1.2,45,45,0.118,0.669,0.343,0.818,-1.731,0.222
1194,"Peres and Lake, 2003",Psophia spp,Birds,Frug,Tropical forest,0.75,0.24,1.2,45,45,0.288,0.669,0.537,0.818,-0.839,0.11
1195,"Peres and Lake, 2003",Psophia spp,Birds,Frug,Tropical forest,1.25,0.24,1.2,45,45,0.588,0.669,0.767,0.818,-0.127,0.071
1196,"Peres and Lake, 2003",Psophia spp,Birds,Frug,Tropical forest,1.75,0.24,1.2,45,45,0.647,0.669,0.804,0.818,-0.031,0.068
1197,"Peres and Lake, 2003",Psophia spp,Birds,Frug,Tropical forest,2.25,0.24,1.2,45,45,0.533,0.669,0.73,0.818,-0.225,0.075
1198,"Peres and Lake, 2003",Psophia spp,Birds,Frug,Tropical forest,2.75,0.24,1.2,45,45,0.431,0.669,0.657,0.818,-0.437,0.085
1199,"Peres and Lake, 2003",Psophia spp,Birds,Frug,Tropical forest,3.25,0.24,1.2,45,45,0.568,0.669,0.754,0.818,-0.162,0.072
1200,"Peres and Lake, 2003",Psophia spp,Birds,Frug,Tropical forest,3.75,0.24,1.2,45,45,0.568,0.669,0.754,0.818,-0.162,0.072
1201,"Peres and Lake, 2003",Psophia spp,Birds,Frug,Tropical forest,4.25,0.24,1.2,45,45,0.541,0.669,0.736,0.818,-0.21,0.074
1202,"Peres and Lake, 2003",Alouatta spp,Mammals,Herb,Tropical forest,0.25,0.24,6.5,45,45,1,0.217,1,0.466,1.528,0.125
1203,"Peres and Lake, 2003",Alouatta spp,Mammals,Herb,Tropical forest,0.75,0.24,6.5,45,45,0.769,0.217,0.877,0.466,1.265,0.131
1204,"Peres and Lake, 2003",Alouatta spp,Mammals,Herb,Tropical forest,1.25,0.24,6.5,45,45,0.847,0.217,0.92,0.466,1.362,0.129
1205,"Peres and Lake, 2003",Alouatta spp,Mammals,Herb,Tropical forest,1.75,0.24,6.5,45,45,0.681,0.217,0.825,0.466,1.144,0.135
1206,"Peres and Lake, 2003",Alouatta spp,Mammals,Herb,Tropical forest,2.25,0.24,6.5,45,45,0.8,0.217,0.894,0.466,1.305,0.13
1207,"Peres and Lake, 2003",Alouatta spp,Mammals,Herb,Tropical forest,2.75,0.24,6.5,45,45,0.708,0.217,0.841,0.466,1.183,0.134
1208,"Peres and Lake, 2003",Alouatta spp,Mammals,Herb,Tropical forest,3.25,0.24,6.5,45,45,0.419,0.217,0.647,0.466,0.658,0.155
1209,"Peres and Lake, 2003",Alouatta spp,Mammals,Herb,Tropical forest,3.75,0.24,6.5,45,45,0.194,0.217,0.441,0.466,-0.112,0.217
1210,"Peres and Lake, 2003",Alouatta spp,Mammals,Herb,Tropical forest,4.25,0.24,6.5,45,45,0.142,0.217,0.376,0.466,-0.426,0.259
1211,"Peres and Lake, 2003",Callicebus cupreus and C. moloch,Mammals,Omn,Tropical forest,0.25,0.24,1.1,45,45,2.533,0.076,1.592,0.276,3.506,0.301
1212,"Peres and Lake, 2003",Callicebus cupreus and C. moloch,Mammals,Omn,Tropical forest,0.75,0.24,1.1,45,45,0.84,0.076,0.917,0.276,2.403,0.319
1213,"Peres and Lake, 2003",Callicebus cupreus and C. moloch,Mammals,Omn,Tropical forest,1.25,0.24,1.1,45,45,0.942,0.076,0.971,0.276,2.517,0.316
1214,"Peres and Lake, 2003",Callicebus cupreus and C. moloch,Mammals,Omn,Tropical forest,1.75,0.24,1.1,45,45,0.445,0.076,0.667,0.276,1.767,0.342
1215,"Peres and Lake, 2003",Callicebus cupreus and C. moloch,Mammals,Omn,Tropical forest,2.25,0.24,1.1,45,45,0.668,0.076,0.817,0.276,2.174,0.326
1216,"Peres and Lake, 2003",Callicebus cupreus and C. moloch,Mammals,Omn,Tropical forest,2.75,0.24,1.1,45,45,0.299,0.076,0.547,0.276,1.37,0.367
1217,"Peres and Lake, 2003",Callicebus cupreus and C. moloch,Mammals,Omn,Tropical forest,3.25,0.24,1.1,45,45,0.325,0.076,0.57,0.276,1.453,0.361
1218,"Peres and Lake, 2003",Callicebus cupreus and C. moloch,Mammals,Omn,Tropical forest,3.75,0.24,1.1,45,45,0.668,0.076,0.817,0.276,2.174,0.326
1219,"Peres and Lake, 2003",Callicebus cupreus and C. moloch,Mammals,Omn,Tropical forest,4.25,0.24,1.1,45,45,0.191,0.076,0.437,0.276,0.921,0.409
1220,"Peres and Lake, 2003",Cebus albifrons,Mammals,Omn,Tropical forest,0.25,0.24,2.63,45,45,0.409,0.738,0.64,0.859,-0.59,0.084
1221,"Peres and Lake, 2003",Cebus albifrons,Mammals,Omn,Tropical forest,0.75,0.24,2.63,45,45,0.511,0.738,0.715,0.859,-0.367,0.074
1222,"Peres and Lake, 2003",Cebus albifrons,Mammals,Omn,Tropical forest,1.25,0.24,2.63,45,45,0.545,0.738,0.738,0.859,-0.303,0.071
1223,"Peres and Lake, 2003",Cebus albifrons,Mammals,Omn,Tropical forest,1.75,0.24,2.63,45,45,0.411,0.738,0.641,0.859,-0.585,0.084
1224,"Peres and Lake, 2003",Cebus albifrons,Mammals,Omn,Tropical forest,2.25,0.24,2.63,45,45,0.352,0.738,0.593,0.859,-0.74,0.093
1225,"Peres and Lake, 2003",Cebus albifrons,Mammals,Omn,Tropical forest,2.75,0.24,2.63,45,45,0.511,0.738,0.715,0.859,-0.367,0.074
1226,"Peres and Lake, 2003",Cebus albifrons,Mammals,Omn,Tropical forest,3.25,0.24,2.63,45,45,0.839,0.738,0.916,0.859,0.128,0.057
1227,"Peres and Lake, 2003",Cebus albifrons,Mammals,Omn,Tropical forest,3.75,0.24,2.63,45,45,0.711,0.738,0.843,0.859,-0.037,0.061
1228,"Peres and Lake, 2003",Cebus albifrons,Mammals,Omn,Tropical forest,4.25,0.24,2.63,45,45,0.745,0.738,0.863,0.859,0.01,0.06
1229,"Peres and Lake, 2003",Dasyprocta spp,Mammals,Omn,Tropical forest,0.25,0.24,2.5,45,45,2.627,0.833,1.621,0.913,1.149,0.035
1230,"Peres and Lake, 2003",Dasyprocta spp,Mammals,Omn,Tropical forest,0.75,0.24,2.5,45,45,2.921,0.833,1.709,0.913,1.255,0.034
1231,"Peres and Lake, 2003",Dasyprocta spp,Mammals,Omn,Tropical forest,1.25,0.24,2.5,45,45,3.095,0.833,1.759,0.913,1.313,0.034
1232,"Peres and Lake, 2003",Dasyprocta spp,Mammals,Omn,Tropical forest,1.75,0.24,2.5,45,45,2.944,0.833,1.716,0.913,1.263,0.034
1233,"Peres and Lake, 2003",Dasyprocta spp,Mammals,Omn,Tropical forest,2.25,0.24,2.5,45,45,2.46,0.833,1.568,0.913,1.083,0.036
1234,"Peres and Lake, 2003",Dasyprocta spp,Mammals,Omn,Tropical forest,2.75,0.24,2.5,45,45,1.984,0.833,1.409,0.913,0.868,0.038
1235,"Peres and Lake, 2003",Dasyprocta spp,Mammals,Omn,Tropical forest,3.25,0.24,2.5,45,45,2.46,0.833,1.568,0.913,1.083,0.036
1236,"Peres and Lake, 2003",Dasyprocta spp,Mammals,Omn,Tropical forest,3.75,0.24,2.5,45,45,1.286,0.833,1.134,0.913,0.434,0.044
1237,"Peres and Lake, 2003",Dasyprocta spp,Mammals,Omn,Tropical forest,4.25,0.24,2.5,45,45,0.873,0.833,0.934,0.913,0.047,0.052
1238,"Peres and Lake, 2003",Lagothrix lagotricha,Mammals,Frug,Tropical forest,0.25,0.24,6.3,45,45,0.069,0.71,0.262,0.843,-2.332,0.354
1239,"Peres and Lake, 2003",Lagothrix lagotricha,Mammals,Frug,Tropical forest,0.75,0.24,6.3,45,45,0.208,0.71,0.456,0.843,-1.227,0.138
1240,"Peres and Lake, 2003",Lagothrix lagotricha,Mammals,Frug,Tropical forest,1.25,0.24,6.3,45,45,0.275,0.71,0.524,0.843,-0.948,0.112
1241,"Peres and Lake, 2003",Lagothrix lagotricha,Mammals,Frug,Tropical forest,1.75,0.24,6.3,45,45,0.494,0.71,0.703,0.843,-0.363,0.076
1242,"Peres and Lake, 2003",Lagothrix lagotricha,Mammals,Frug,Tropical forest,2.25,0.24,6.3,45,45,0.635,0.71,0.797,0.843,-0.112,0.066
1243,"Peres and Lake, 2003",Lagothrix lagotricha,Mammals,Frug,Tropical forest,2.75,0.24,6.3,45,45,0.667,0.71,0.817,0.843,-0.063,0.065
1244,"Peres and Lake, 2003",Lagothrix lagotricha,Mammals,Frug,Tropical forest,3.25,0.24,6.3,45,45,0.771,0.71,0.878,0.843,0.082,0.06
1245,"Peres and Lake, 2003",Lagothrix lagotricha,Mammals,Frug,Tropical forest,3.75,0.24,6.3,45,45,0.646,0.71,0.804,0.843,-0.095,0.066
1246,"Peres and Lake, 2003",Lagothrix lagotricha,Mammals,Frug,Tropical forest,4.25,0.24,6.3,45,45,0.792,0.71,0.89,0.843,0.109,0.059
1247,"Peres and Lake, 2003",Pecari tajacu,Mammals,Herb,Tropical forest,0.25,0.24,21.27,45,45,0.072,0.321,0.268,0.567,-1.493,0.378
1248,"Peres and Lake, 2003",Pecari tajacu,Mammals,Herb,Tropical forest,0.75,0.24,21.27,45,45,0.109,0.321,0.33,0.567,-1.079,0.273
1249,"Peres and Lake, 2003",Pecari tajacu,Mammals,Herb,Tropical forest,1.25,0.24,21.27,45,45,0.11,0.321,0.332,0.567,-1.07,0.271
1250,"Peres and Lake, 2003",Pecari tajacu,Mammals,Herb,Tropical forest,1.75,0.24,21.27,45,45,0.153,0.321,0.391,0.567,-0.74,0.215
1251,"Peres and Lake, 2003",Pecari tajacu,Mammals,Herb,Tropical forest,2.25,0.24,21.27,45,45,0.118,0.321,0.344,0.567,-1,0.258
1252,"Peres and Lake, 2003",Pecari tajacu,Mammals,Herb,Tropical forest,2.75,0.24,21.27,45,45,0.291,0.321,0.539,0.567,-0.098,0.146
1253,"Peres and Lake, 2003",Pecari tajacu,Mammals,Herb,Tropical forest,3.25,0.24,21.27,45,45,0.26,0.321,0.51,0.567,-0.21,0.155
1254,"Peres and Lake, 2003",Pecari tajacu,Mammals,Herb,Tropical forest,3.75,0.24,21.27,45,45,0.329,0.321,0.574,0.567,0.025,0.137
1255,"Peres and Lake, 2003",Pecari tajacu,Mammals,Herb,Tropical forest,4.25,0.24,21.27,45,45,0.36,0.321,0.6,0.567,0.115,0.131
1256,"Peres and Lake, 2003",Saguinus mystax and imperator,Mammals,Omn,Tropical forest,0.25,0.24,0.51,45,45,3.333,1.022,1.826,1.011,1.182,0.028
1257,"Peres and Lake, 2003",Saguinus mystax and imperator,Mammals,Omn,Tropical forest,0.75,0.24,0.51,45,45,2.782,1.022,1.668,1.011,1.002,0.03
1258,"Peres and Lake, 2003",Saguinus mystax and imperator,Mammals,Omn,Tropical forest,1.25,0.24,0.51,45,45,1.627,1.022,1.276,1.011,0.465,0.035
1259,"Peres and Lake, 2003",Saguinus mystax and imperator,Mammals,Omn,Tropical forest,1.75,0.24,0.51,45,45,1.778,1.022,1.333,1.011,0.554,0.034
1260,"Peres and Lake, 2003",Saguinus mystax and imperator,Mammals,Omn,Tropical forest,2.25,0.24,0.51,45,45,0.818,1.022,0.904,1.011,-0.222,0.049
1261,"Peres and Lake, 2003",Saguinus mystax and imperator,Mammals,Omn,Tropical forest,2.75,0.24,0.51,45,45,0.907,1.022,0.952,1.011,-0.119,0.046
1262,"Peres and Lake, 2003",Saguinus mystax and imperator,Mammals,Omn,Tropical forest,3.25,0.24,0.51,45,45,1.289,1.022,1.135,1.011,0.232,0.039
1263,"Peres and Lake, 2003",Saguinus mystax and imperator,Mammals,Omn,Tropical forest,3.75,0.24,0.51,45,45,1.209,1.022,1.1,1.011,0.168,0.04
1264,"Peres and Lake, 2003",Saguinus mystax and imperator,Mammals,Omn,Tropical forest,4.25,0.24,0.51,45,45,0.907,1.022,0.952,1.011,-0.119,0.046
1265,"Peres and Lake, 2003",Saimiri spp,Mammals,Omn,Tropical forest,0.25,0.24,0.68,45,45,2.133,0.211,1.461,0.459,2.313,0.116
